Namen,contribution_index
Australia,0.683836403021833
Austria,2.32152585559511
Belgium,0.660875764969352
Canada,0.415993353133847
Chile,0.197536214802734
Czech Republic,0.116327099861698
Denmark,0.438675612385784
Estonia,0.061213659708012
Finland,0.477488900986946
France,0.638284331523965
Germany,5.23655935954897
Greece,4.06149716265482
Hungary,3.39385628156481
Iceland,2.15147934239119
Ireland,0.320914779544152
Israel,0.850336112378698
Italy,1.22850013417361
Japan,0.058613845761665
Korea,0.171189984133148
Luxembourg,1.00870003841741
Mexico,0.140101362624094
Netherlands,0.579322677547171
New Zealand,0.066383438479852
Norway,0.17617887750893
Poland,0.330460310150105
Portugal,0.136722124226077
Slovakia,0.022145336852491
Slovenia,0.541011015542554
Spain,0.290931072008949
Sweden,0.999630261132234
Switzerland,1.45079614156787
Turkey,1.58582234904237
United Kingdom,0.407656878874926
United States,0.624028268748853
